measurement,measurement_2,class
78020,46928,seven
70834,38073,seven
71510,38178,seven
68438,39948,seven
83437,45469,seven
70260,38021,seven
69584,38333,seven
65052,38541,seven
65260,31510,seven
76666,37917,seven
100364,41302,seven
69323,24844,seven
72083,42865,seven
73489,38073,seven
68334,39948,seven
78803,41146,seven
84219,47708,seven
64427,34636,seven
70990,40209,seven
65781,38594,seven
69427,40365,seven
74219,38542,seven
66354,40886,seven
69115,36875,seven
76145,52709,seven
77865,46614,seven
63438,40260,seven
77813,44531,seven
59115,21771,seven
71771,32969,seven
71563,31719,seven
71667,40312,seven
67605,38333,seven
116198,75833,seven
102344,79375,seven
90052,37552,seven
82969,40938,seven
85364,52552,seven
10938,32031,seven
75157,40416,seven
79114,29479,seven
78021,52812,seven
81875,39635,seven
76146,35937,seven
73906,37135,seven
80520,29271,seven
63281,40625,seven
70208,38594,seven
60729,21927,seven
67656,40156,seven
52760,28750,seven
109063,35469,seven
69428,37500,seven
94688,57917,seven
71718,31719,seven
73281,37656,seven
59635,34479,seven
75937,37656,seven
63489,29896,seven
83594,40000,seven
66198,38281,seven
70000,40730,seven
13489,31198,seven
73177,42813,seven
66041,38646,seven
69479,40521,seven
71511,40312,seven
57083,29531,seven
80052,53750,seven
66250,30990,seven
82500,39375,seven
75416,40364,seven
112448,21459,seven
67708,37031,seven
71562,38073,seven
78021,39687,seven
57916,30573,seven
71042,38437,seven
70521,38854,seven
64323,29167,seven
74114,40000,seven
84323,37812,seven
71875,38854,seven
67969,39948,seven
78802,55885,eight
22344,89323,eight
96927,70521,eight
90313,256666,eight
101459,66666,eight
107292,62864,eight
9896,67864,eight
212552,79583,eight
93229,56771,eight
105104,67292,eight
96407,63177,eight
78073,56927,eight
106094,67864,eight
117395,67031,eight
91250,55104,eight
91615,70104,eight
92240,46979,eight
82812,55521,eight
87552,56562,eight
92656,58594,eight
95261,59375,eight
103073,61927,eight
89063,53177,eight
94218,62396,eight
77239,49427,eight
89532,53385,eight
100312,64739,eight
10886,62500,eight
71355,49844,eight
78125,43594,eight
94688,54219,eight
95521,63698,eight
111146,62812,eight
141041,96250,eight
136407,95573,eight
135626,95730,eight
124948,79635,eight
97917,59115,eight
76719,44844,eight
104167,54792,eight
84636,145573,eight
95677,66927,eight
144011,101042,eight
102657,60938,eight
100469,56667,eight
77031,47396,eight
61927,71614,eight
95781,59635,eight
97813,66927,eight
89323,56771,eight
103958,63073,eight
96875,63385,eight
83229,50313,eight
135313,86771,eight
100416,66510,eight
19636,44740,eight
90937,46563,eight
104011,77812,eight
80364,48229,eight
90208,54896,eight
85572,56406,eight
81875,51094,eight
103854,59219,eight
82031,53698,eight
103177,67708,eight
82709,47813,eight
87917,48750,eight
96719,50417,eight
84896,41250,eight
104375,66406,eight
89322,53906,eight
151823,53438,eight
145573,110052,eight
90052,54011,eight
101771,62969,eight
97813,62761,eight
92188,40000,eight
111771,55313,eight
132083,96615,eight
103073,75000,eight
89115,54688,eight
97136,66667,eight
93542,61407,eight
93698,66250,eight
109531,69687,eight
83438,55469,eight
73594,50625,eight
89166,64948,eight
95105,63490,eight
99895,60209,eight
147656,113438,eight
103854,62760,eight
87136,53438,eight
96823,68177,eight
111718,76510,eight
108177,73958,eight
109375,21094,eight
109115,62031,eight
104636,71094,eight
141094,111094,eight
103073,70521,eight
107968,70885,eight
99896,63750,eight
106146,73229,eight
97969,58073,eight
128438,74427,eight
110312,62500,eight
113282,74583,eight
107916,74479,eight
135625,94792,eight
98021,74219,eight
102239,72135,eight
96979,70104,eight
113646,71198,eight
111719,73125,eight
86614,54219,eight
100989,65625,eight
104531,66302,eight
113021,72552,eight
106927,71875,eight
100209,64219,eight
105105,72240,eight
108750,66875,eight
21771,75990,eight
109063,67916,eight
106510,72135,eight
108021,72343,eight
104791,70625,eight
109635,63229,eight
23438,75886,eight
104584,76302,eight
144740,115261,eight
113125,72656,eight
105157,70989,eight
86094,55208,eight
100469,43438,eight
81458,63386,eight
121562,62604,eight
114844,72344,eight
113490,59740,eight
119948,65469,eight
108489,64792,eight
112344,70781,eight
109375,65573,eight
116927,77031,eight
87187,54739,eight
100833,61302,eight
114896,67917,eight
74375,72709,eight
154166,113334,eight
103593,65157,eight
112187,69740,eight
98073,68854,eight
103646,60677,eight
113073,75990,eight
112031,63698,eight
105260,72187,eight
176875,225365,eight
104322,71146,eight
143229,192657,eight
107708,72240,eight
10937,81770,eight
92395,67187,eight
140260,100729,eight
139636,78385,eight
102135,73386,eight
107239,64948,eight
107395,62605,eight
85938,53281,eight
112291,65156,eight
152187,114844,eight
104271,63073,eight
97865,72657,eight
102760,66719,eight
119062,64843,eight
106198,66407,eight
95729,65938,eight
104427,72031,eight
112813,72500,eight
97656,71719,eight
172552,131510,eight
110521,70886,eight
74948,54739,eight
107448,66407,eight
99688,61146,eight
101458,68178,eight
104375,70417,eight
124010,81511,eight
57552,68021,eight
108854,72656,eight
92240,59636,nine
82604,55885,nine
72031,42136,nine
86823,45104,nine
83490,53646,nine
24010,39948,nine
88854,56823,nine
25260,56197,nine
99167,55417,nine
83021,48281,nine
104427,73073,nine
96875,64167,nine
152084,48073,nine
77135,45938,nine
128490,76823,nine
75156,53437,nine
99375,62448,nine
73281,50677,nine
10990,72865,nine
95313,57969,nine
76615,49739,nine
80833,43281,nine
81198,49271,nine
85469,43750,nine
94531,58438,nine
92292,63177,nine
92291,61615,nine
89114,52969,nine
80156,47448,nine
74844,48281,nine
145416,155104,nine
74010,54219,nine
93489,50573,nine
79896,46094,nine
74688,43333,nine
110312,48177,nine
75990,58386,nine
114636,62136,nine
86042,53906,nine
119323,79844,nine
93385,54584,nine
91615,63698,nine
93333,48125,nine
86718,23334,nine
91563,56875,nine
74479,44532,nine
75677,50469,nine
61875,43802,nine
92708,54532,nine
73594,43750,nine
81510,45312,nine
99167,66562,nine
99635,71979,nine
92135,60521,nine
94219,56198,nine
9271,390260,nine
90573,48333,nine
92552,54792,nine
90521,49063,nine
66823,19895,nine
90938,59479,nine
85990,46146,nine
106771,71771,nine
84531,48281,nine
82812,54896,nine
93281,64218,nine
77656,45260,nine
194167,19687,nine
121303,84115,nine
91250,53803,nine
78282,62760,nine
75104,46615,nine
77761,46927,nine
89532,46875,nine
82761,43438,nine
84740,56302,nine
68750,110261,nine
74218,47136,nine
92291,68490,nine
75677,50781,nine
30469,62344,nine
69583,22031,nine
147552,48229,nine
122916,57396,nine
71875,44479,nine
72605,62291,nine
95104,48438,nine
79948,46094,nine
130521,83489,nine
165416,102864,nine
176510,29687,nine
79323,51927,nine
81302,46250,nine
22240,54375,nine
89896,50000,nine
76771,46927,nine
86094,19636,nine
89167,54948,nine
94740,63385,nine
94583,58438,nine
97865,59635,nine
96927,57344,nine
148281,101042,nine
103646,67604,nine
86927,68437,nine
198489,159166,nine
27292,57604,nine
28229,50938,nine
100729,65000,nine
233750,234635,nine
78490,22500,nine
93854,53490,nine
106771,56093,nine
98177,63906,nine
88906,62448,nine
96667,54844,nine
107761,66615,nine
118959,62917,nine
91355,63333,nine
80729,48646,nine
93906,62552,nine
101198,56250,nine
99010,63541,nine
93385,53229,nine
11406,58386,nine
105989,54739,nine
100573,61407,nine
97812,63021,nine
94948,25521,nine
130312,236042,nine
101771,64427,nine
100989,64948,nine
105208,58698,nine
101303,68541,nine
94687,60938,nine
102760,65365,nine
98593,67552,nine
107604,62500,nine
96303,55521,nine
102708,61927,nine
92344,53854,nine
103750,93594,nine
91563,63489,nine
108437,57864,nine
101198,64948,nine
100573,64583,nine
108386,58385,nine
102240,55521,nine
101094,62500,nine
95677,64219,nine
182395,120677,nine
132552,65781,nine
90469,20677,nine
100885,64011,nine
97292,60678,nine
102448,62969,nine
71302,47136,nine
95572,62291,nine
101355,65261,nine
86667,59323,nine
71354,96510,nine
109219,68645,nine
85417,60104,nine
101145,54688,nine
94531,57031,nine
112135,71615,nine
140677,64583,nine
93802,54219,nine
9896,57500,nine
91823,56822,nine
95937,65468,nine
129375,87552,nine
108281,67656,nine
100052,63802,nine
98021,60417,nine
12344,63750,nine
93437,52865,nine
90052,63958,nine
94011,63594,nine
101094,55364,nine
10000,20729,nine
98698,63125,nine
91823,64219,nine
97396,56250,nine
97969,61979,nine
72604,43333,nine
100052,56823,nine
97135,63907,nine
94323,62552,nine
88281,56250,nine
87708,53334,nine
100677,24531,nine
115157,51927,b
83021,45730,b
97708,66355,b
94167,56511,b
64323,34115,b
61458,39062,b
81042,46511,b
57240,35625,b
63489,36250,b
69687,48177,b
77552,40365,b
65156,34219,b
68437,40677,b
64844,35052,b
22395,44010,b
64271,34531,b
10938,220208,b
69323,42291,b
66250,39375,b
79271,52708,b
107760,71563,b
76042,44167,b
90052,39896,b
91041,54531,b
73750,37708,b
65469,47240,b
80729,49167,b
75052,45833,b
75052,55781,b
88750,46875,b
84844,49219,b
73646,43386,b
88594,56927,b
63177,38542,b
107969,59271,b
81042,39114,b
66823,34896,b
74271,47448,b
76041,36562,b
86302,49427,b
72552,39531,b
68333,40052,b
81927,37500,b
67239,36407,b
77344,46459,b
75625,44375,b
105990,59948,b
78333,39479,b
108386,61771,b
72604,46198,b
63697,37812,b
72396,39896,b
74531,48230,b
65625,35677,b
79636,46042,b
188854,140937,b
21823,46771,b
100208,66406,b
71822,39480,b
80781,44896,b
71666,36875,b
68593,43021,b
161823,39323,b
105729,42500,b
67969,47344,b
80625,48594,b
90000,37709,b
22500,35989,b
21771,25417,b
93333,43334,b
71770,38698,b
79531,48750,b
82604,47292,b
73750,39584,b
75417,49896,b
64740,33802,b
66198,40052,b
69270,36250,b
71667,48282,b
82500,41354,b
76614,39688,b
82292,47188,b
64115,36615,b
61771,35521,b
55834,35000,b
77500,31563,b
65990,30208,b
89323,61718,b
79011,43906,b
76094,49896,b
68437,40990,b
94167,63750,b
45886,487136,b
80781,48282,b
65364,38334,b
79114,46093,b
86927,54584,b
71302,38593,b
73959,43958,b
89687,49895,b
74271,46719,b
88281,44375,b
90208,50105,b
80313,46771,b
80365,52604,b
89896,53438,b
70261,59115,b
66875,34479,b
82396,48698,b
15573,49636,b
79583,56511,b
85365,53073,b
86458,55468,b
99062,47240,b
76510,47396,b
88230,43750,b
84583,46719,b
85677,54115,b
115781,82396,b
80000,46667,b
8750,59219,b
89062,57083,b
85365,59636,b
96510,46562,b
80260,47865,b
83281,20468,b
74636,56719,b
88593,64479,b
90365,53750,b
78229,47917,b
80104,41771,b
89427,49166,b
78906,40625,b
98437,59166,b
96875,65573,b
83542,47604,b
93125,58750,b
133698,67396,b
90000,56094,b
73333,39531,b
23490,56511,b
10625,47291,b
78125,40625,b
81823,46979,b
87969,48438,b
68229,46562,b
109322,65052,b
82760,54636,b
76511,46094,b
73646,38854,b
88282,45625,b
86407,53333,b
209583,185469,b
84479,54427,b
109531,47969,b
97239,55520,b
81875,42083,b
83698,46719,b
83958,45834,b
82813,54636,b
67188,39010,b
99166,50260,b
9687,42865,b
85625,47187,b
108906,81615,b
94844,49583,b
77344,46406,b
87292,48385,b
89583,46719,b
86198,49062,b
82865,47188,b
84740,53646,b
74948,48802,b
82552,46562,b
84740,48177,b
88698,50677,b
73750,54219,b
91615,48177,b
86823,51458,b
123646,89219,b
70260,37969,b
101875,19740,b
85625,53958,b
83542,54114,b
80313,44531,b
71875,51927,b
80156,55781,b
81198,47917,b
82448,48802,b
127344,61927,b
90156,57135,b
76354,47187,b
85260,49583,b
64166,30521,c
62448,31927,c
108594,41250,c
74479,40573,c
66771,30312,c
63646,30937,c
102708,82031,c
77240,37917,c
65885,32500,c
61145,39428,c
13177,52344,c
71250,38021,c
72917,21927,c
92396,60468,c
61979,37708,c
73958,39219,c
68489,30729,c
72136,38281,c
72448,43125,c
61510,30312,c
72396,39219,c
73334,39219,c
56198,26042,c
60937,35937,c
70989,40937,c
69219,44375,c
64062,30417,c
63594,29792,c
183646,29792,c
83802,50208,c
95937,55313,c
82708,50312,c
91823,54323,c
66511,42500,c
71667,38698,c
22656,39531,c
144323,95469,c
90625,50990,c
23802,62604,c
66771,36875,c
61875,29218,c
59166,29010,c
75729,33907,c
22552,40625,c
71198,43698,c
60937,28437,c
70104,43021,c
66146,33177,c
75416,38385,c
114219,78854,c
70677,31979,c
67865,42032,c
70156,38073,c
87395,24115,c
63594,39271,c
64947,31302,c
60729,27917,c
55833,42604,c
75469,39687,c
66042,41406,c
69167,32239,c
73073,40937,c
64688,36562,c
118698,59427,c
60312,35261,c
64271,31354,c
65208,40260,c
61823,30209,c
67083,39063,c
69895,35208,c
80521,40625,c
71094,39844,c
61198,28072,c
79375,46146,c
61563,28750,c
61823,30781,c
52136,36927,c
58333,35365,c
71823,38072,c
89844,53959,c
67500,42865,c
67812,39114,c
77187,48750,c
84531,39063,c
64167,29687,c
56355,35834,c
88594,44739,c
28594,32448,c
60938,35052,c
67031,35573,c
10937,26771,c
61354,36302,c
72761,35625,c
72917,38438,c
76407,20730,c
65730,39739,c
80416,39740,c
77917,47604,c
74219,37760,c
92709,56667,c
79635,36718,c
67760,43854,c
73958,39219,c
80313,50156,c
80573,38125,c
75833,38906,c
72969,21614,c
73021,38698,c
85260,49010,c
82292,40938,c
78646,38907,c
72760,43073,c
77448,49583,c
86979,57395,c
85781,49583,c
75677,41094,c
79375,47917,c
79844,47709,c
78594,44740,c
102188,254740,c
80729,45417,c
90521,50104,c
86718,52552,c
69688,38645,c
11250,31979,c
84792,48385,c
77396,39844,c
79531,40990,c
71823,20885,c
85625,48854,c
82917,45833,c
78125,38125,c
83697,38750,c
95261,47448,c
51719,44166,c
76406,39218,c
78021,40938,c
78490,40625,c
72969,46979,c
72135,46354,c
79011,43698,c
76198,42239,c
73021,48334,c
90416,57240,c
76928,39479,c
72812,39688,c
88073,22083,c
77657,46927,c
73646,48073,c
79115,47344,c
70781,43229,c
77656,41823,c
74688,48907,c
100677,55520,c
76667,39115,c
78698,38645,c
78178,50052,c
77708,49063,c
77240,38854,c
106510,40990,c
77448,43229,c
75104,45990,c
75313,37448,c
80260,35261,c
82656,49427,c
86250,48541,c
86250,44739,c
75625,44167,c
81875,22969,c
69947,39584,c
80000,48750,c
82188,39011,c
70938,46927,c
78385,37812,c
11563,39011,c
77708,50990,c
78438,40000,c
73281,47500,c
81510,49219,c
78386,40729,c
82500,53281,c
10677,36771,c
86875,38021,c
108698,38750,c
78542,41198,c
73125,47656,c
75782,47344,c
74895,35000,c
64584,29843,f
99010,45625,f
54583,30365,f
59115,36615,f
58645,26406,f
66041,36563,f
57917,27708,f
47708,29636,f
62604,29375,f
63281,29688,f
73490,39531,f
66250,30365,f
99791,33021,f
18073,24323,f
188541,39323,f
62864,30625,f
84687,34271,f
48541,27031,f
63854,29895,f
60364,27448,f
24063,31459,f
71615,38907,f
66042,35000,f
90937,44948,f
72396,36823,f
66614,30157,f
66406,30729,f
61927,37344,f
62552,31250,f
71302,38021,f
69219,40312,f
75834,31094,f
73177,28646,f
14166,41094,f
65156,31302,f
66511,36719,f
64843,30000,f
73386,30365,f
51927,28594,f
64844,38906,f
64531,27969,f
71042,30000,f
81511,46146,f
69219,36979,f
20105,34531,f
14792,38750,f
61407,30313,f
69375,58333,f
67761,38803,f
78802,53021,f
49167,28177,f
63230,21563,f
58385,29218,f
63854,51875,f
60052,30313,f
42552,27708,f
69375,71042,f
56146,29844,f
51562,28959,f
21041,45521,f
66927,22761,f
69687,37917,f
66146,36666,f
56198,31563,f
67813,41250,f
150313,58646,f
75261,40729,f
19167,38750,f
64167,36875,f
71041,31510,f
66250,30989,f
61302,38437,f
61407,23177,f
49739,30677,f
58125,30156,f
80990,46094,f
88802,43490,f
48959,26250,f
70417,39219,f
56094,30417,f
50833,36250,f
63333,28959,f
58854,28282,f
65573,38490,f
68803,30417,f
62604,33334,f
55937,35104,f
70573,29792,f
59375,34583,f
49844,27761,f
55521,29479,f
67865,31979,f
71250,30260,f
93177,35677,f
83959,33229,f
75469,40989,f
77135,53489,f
72292,29792,f
74114,40625,f
74844,39427,f
67083,40417,f
69635,38802,f
76667,43229,f
68386,38178,f
69531,40156,f
69323,43437,f
63125,38229,f
64531,31250,f
74531,40260,f
103230,39428,f
70417,37760,f
74531,44166,f
69479,29948,f
100365,74375,f
72605,30365,f
79427,37031,f
63541,37292,f
70209,39219,f
73438,38854,f
68125,38541,f
66614,36459,f
65260,37292,f
68959,38281,f
64739,38750,f
64791,41979,f
53177,26094,f
102240,65052,f
67135,40468,f
70573,30730,f
80625,40885,f
68593,38646,f
64010,39010,f
59687,35937,f
77656,41198,f
59531,33958,f
61302,37708,f
73125,37343,f
72500,39740,f
76510,38333,f
72812,40000,f
70417,33750,f
75729,49584,f
68229,38385,f
68906,33125,f
71980,38907,f
59218,30104,f
16927,37865,f
77084,38646,f
66302,31302,f
72812,23333,f
69479,31979,f
82135,48594,f
68854,38229,f
80417,45209,f
70834,37292,f
81198,40469,f
70261,38594,f
64218,30156,f
69062,36615,f
75677,35886,f
70521,44322,f
66250,41459,f
63698,37604,f
69010,31042,f
70261,35989,f
100886,33698,f
69844,35364,f
60729,33125,f
69218,35937,f
66666,32709,f
78646,44062,f
66979,34531,f
30312,39062,f
63333,31250,f
72657,34792,f
95208,34584,f
76771,35625,f
74010,38229,f
78021,42032,f
73802,40000,f
9687,35208,f
76822,38489,f
55052,22448,f
78593,41927,f
70260,37344,f
88594,41719,f
76719,39219,f
71250,31094,f
74375,38125,f
78958,42187,f
86458,46563,g
93073,49115,g
90730,51615,g
90208,23907,g
72916,47708,g
71979,41458,g
62448,41250,g
82604,47188,g
81980,47031,g
86979,49323,g
83125,46146,g
78020,38542,g
79687,44583,g
84427,43750,g
48958,136875,g
67865,47032,g
64896,77553,g
114427,72447,g
68073,30052,g
11146,46562,g
97447,45937,g
81667,54531,g
82291,54062,g
87916,54791,g
88229,63593,g
88073,56875,g
72396,51302,g
80000,49375,g
11250,79636,g
118125,74427,g
12605,58854,g
68542,49427,g
73750,38490,g
72812,46927,g
79219,51094,g
72552,51875,g
67344,42864,g
81146,47240,g
85364,52032,g
71407,42500,g
90989,55937,g
80208,39792,g
85573,48386,g
72864,47396,g
83021,48438,g
71250,54271,g
84531,46771,g
71562,42864,g
69115,42917,g
77448,45000,g
79063,46354,g
94323,52448,g
72083,38802,g
65521,35469,g
130573,107396,g
81980,47136,g
71615,46718,g
98854,39740,g
84063,26198,g
79843,46927,g
96615,54688,g
95208,59792,g
82605,45156,g
182031,97969,g
77865,51354,g
78281,38594,g
74219,44114,g
90573,53281,g
86875,50365,g
116927,47343,g
72500,46458,g
99583,71354,g
84948,56407,g
118437,76458,g
123802,74167,g
103229,22031,g
88177,57760,g
83125,50573,g
95365,66979,g
80677,56927,g
85937,38229,g
80261,46563,g
94427,57032,g
19375,45886,g
71771,49635,g
84375,48646,g
67969,58438,g
46510,47656,g
73386,43386,g
84427,45260,g
81041,50521,g
82135,45625,g
82709,45364,g
86823,54635,g
73959,49792,g
81823,55312,g
88385,53177,g
106406,55157,g
89948,55209,g
101979,50208,g
90833,57292,g
95573,54323,g
105573,49063,g
111823,66822,g
96823,64687,g
91979,64115,g
94688,63854,g
57865,20573,g
97343,62552,g
29114,58177,g
103802,56771,g
104011,60000,g
97083,54167,g
92917,64427,g
128854,57969,g
95208,54271,g
91146,62552,g
135105,74739,g
86562,51510,g
175782,54688,g
97031,65000,g
89062,62291,g
102656,63906,g
131355,95729,g
100573,53854,g
100989,53698,g
99427,64531,g
110312,66927,g
134427,74948,g
94479,59428,g
104896,66823,g
100729,54427,g
94584,56719,g
123906,88802,g
119480,318438,g
91250,62969,g
93802,55730,g
91980,67031,g
89115,55521,g
87032,20417,g
98489,56979,g
87813,58958,g
93594,65156,g
108437,67083,g
102604,56250,g
94896,54635,g
79219,46875,g
98438,56250,g
95261,55520,g
93907,60834,g
116251,80052,g
95000,54427,g
98646,55625,g
176458,56666,g
82084,56823,g
99688,67032,g
92656,55937,g
102291,57135,g
92969,63072,g
104062,96875,g
92032,56770,g
91875,56719,g
102812,65781,g
89687,51771,g
98959,55469,g
94219,57604,g
105833,62448,g
93021,54791,g
110156,64896,g
129011,233854,g
94375,55365,g
72344,62761,g
94844,48334,g
89428,55313,g
99531,53177,g
82708,59427,g
92083,58698,g
98645,55573,g
101093,54792,g
90833,54948,g
9792,55573,g
102865,70052,g
140312,91094,g
96562,51406,g
94896,51927,g
92031,70625,g
92344,61042,g
91823,55416,g
92031,57031,g
108437,72135,g
86510,53333,g
93125,56563,g
96771,57031,g
99948,55208,g
103750,66041,g
80157,52813,h
66927,42396,h
87969,35677,h
71666,29375,h
63646,55208,h
65209,36146,h
66771,36146,h
75625,46979,h
70260,39375,h
63073,29687,h
87552,37083,h
66667,33542,h
76042,45625,h
58385,28490,h
56875,34687,h
77031,37239,h
85312,25573,h
62761,37240,h
79687,32396,h
55886,29635,h
91719,51875,h
69948,30365,h
75625,39896,h
64843,29948,h
70208,36094,h
67083,30677,h
60834,22187,h
70781,36980,h
58490,36146,h
64792,31614,h
75156,24114,h
69896,38802,h
64375,29166,h
54323,28646,h
76718,40521,h
21667,34896,h
74375,38750,h
92187,47396,h
53541,35573,h
62552,45053,h
229584,36666,h
70937,40104,h
76302,49428,h
62969,36771,h
22083,30208,h
62188,37604,h
58594,33438,h
81302,46927,h
72448,36667,h
120677,33594,h
72917,43958,h
65416,32032,h
79115,46355,h
58906,30937,h
55104,35572,h
12291,68907,h
52135,27552,h
81563,38907,h
88437,47292,h
91510,52031,h
52969,43333,h
71459,35312,h
66719,38385,h
71719,36927,h
65261,35208,h
69896,36719,h
70625,31823,h
66615,28906,h
75469,40260,h
65053,30937,h
95104,25156,h
67084,30729,h
72188,43958,h
119635,24688,h
68385,40677,h
22761,57136,h
67448,32031,h
64375,38385,h
65834,43177,h
105782,68334,h
67657,32344,h
59896,38958,h
62761,38802,h
66927,22344,h
83541,45937,h
59479,27292,h
54583,31979,h
82396,31042,h
108386,21875,h
51927,29167,h
66562,39688,h
59948,35417,h
109635,65260,h
70730,31146,h
71458,37865,h
66041,37187,h
65364,38178,h
17500,43437,h
73645,39635,h
186927,27500,h
83281,47500,h
80469,41458,h
78854,47344,h
78958,39323,h
75833,38386,h
57656,30781,h
68333,38125,h
75000,47500,h
80104,46302,h
72552,37448,h
73593,47448,h
72292,37135,h
72656,39636,h
82708,21094,h
194271,26094,h
71615,39063,h
12083,38698,h
86667,56042,h
77187,46355,h
71146,37812,h
77968,38542,h
83021,59010,h
109584,70885,h
70781,38959,h
82917,40469,h
71094,37917,h
68907,39062,h
72448,39740,h
81198,42396,h
71146,50260,h
78802,47604,h
72812,38802,h
79844,39323,h
71303,38125,h
73073,39531,h
75677,38907,h
86615,44687,h
70833,41145,h
74010,39323,h
76093,40468,h
68385,36979,h
100521,78281,h
77500,36354,h
79480,23177,h
76511,35833,h
74635,37917,h
69219,30729,h
12865,49896,h
87500,54167,h
81927,48489,h
77865,48073,h
81510,44011,h
10209,35885,h
71823,38802,h
75105,40261,h
68646,40000,h
63802,35729,h
90417,57500,h
65677,32187,h
107240,18698,h
73385,46823,h
108489,38386,h
66562,31042,h
74323,46302,h
75677,40677,h
69792,40416,h
81250,39115,h
75468,38802,h
80313,41510,h
69010,34688,h
69584,39167,h
76823,39687,h
91563,42292,h
79792,52760,h
91406,69011,h
76875,38177,h
76980,41302,h
71094,38646,h
68073,42291,h
72657,46406,h
26562,40572,h
79011,48229,h
73490,39531,h
65833,31667,h
74427,38229,h
72656,47188,h
64323,43021,h
75781,48490,h
54011,29688,i
62708,29531,i
27604,27291,i
48333,19063,i
61927,31823,i
42344,32813,i
42969,19948,i
54375,27656,i
71093,33021,i
55834,49115,i
64323,29479,i
50521,24791,i
47136,20990,i
75417,32812,i
60104,29115,i
64011,28750,i
61615,34532,i
47240,29323,i
56667,19010,i
60729,21250,i
59271,22656,i
57447,21354,i
56875,20833,i
54323,19896,i
69323,23229,i
38229,20000,i
48750,21458,i
82292,35886,i
65573,32552,i
62448,30937,i
61927,37812,i
55729,29218,i
57760,28594,i
29114,22969,i
63334,29375,i
73542,31093,i
74687,35937,i
52656,22500,i
69062,23282,i
51979,19687,i
53438,28490,i
25000,26250,i
53437,22240,i
63646,23125,i
23125,22917,i
55782,29219,i
49791,26459,i
53177,28177,i
22447,30053,i
56042,22448,i
58854,35000,i
66510,29739,i
63177,23542,i
55677,35104,i
79792,30938,i
55365,23281,i
44948,27813,i
62708,31250,i
44948,19167,i
51667,21354,i
64167,31354,i
70520,38073,i
55781,30313,i
56354,22864,i
57084,30157,i
48750,26563,i
42605,47968,i
51250,28282,i
51302,27761,i
57344,22656,i
49844,26615,i
59948,27656,i
65833,32188,i
51614,26510,i
57552,21459,i
50364,20260,i
55000,29166,i
22864,25886,i
58802,28073,i
43386,24844,i
66980,26823,i
55157,21302,i
34896,27291,i
57188,32084,i
66198,29479,i
49584,28854,i
79740,21667,i
59271,28021,i
107292,25521,i
66719,30208,i
62396,31615,i
72969,47657,i
70156,33385,i
60781,29479,i
53645,21510,i
74323,30365,i
69479,29271,i
95364,20782,i
61041,23750,i
64375,29687,i
56771,29323,i
64948,29896,i
68802,24531,i
63073,29271,i
66563,30521,i
95208,31302,i
70052,29427,i
70885,32760,i
64063,23177,i
63907,23750,i
77760,41250,i
58854,21823,i
156927,20000,i
73125,28959,i
72813,23021,i
71406,30365,i
66823,33073,i
61250,32187,i
65416,29635,i
62813,31094,i
70156,25833,i
64792,32292,i
61302,31459,i
71250,31302,i
63593,31042,i
67240,30469,i
66094,36823,i
65260,30937,i
65521,31511,i
56042,30208,i
59114,31406,i
65468,30885,i
68386,29792,i
64843,30782,i
64323,29583,i
66406,31302,i
60260,30260,i
67552,30625,i
61041,31875,i
48177,26302,i
92292,23386,i
63125,29323,i
60261,30937,i
72657,32969,i
62240,23386,i
62969,52083,i
69531,28594,i
65469,32916,i
61094,30521,i
70312,24375,i
65625,31770,i
62240,27031,i
70573,31406,i
68542,29896,i
65261,30365,i
66042,23281,i
74479,37500,i
22969,25573,i
61511,31094,i
103542,64271,i
59948,35782,i
73750,35938,i
74010,39427,i
82031,38750,i
64532,30937,i
67656,40937,i
58750,22761,i
63698,29843,i
61510,28020,i
62083,30000,i
67084,29844,i
23281,30313,i
12083,315989,i
67552,31667,i
79896,44739,i
59219,30677,i
62187,30313,i
74687,30104,i
64271,30000,i
62656,33594,i
60938,31459,i
64323,29584,i
57604,31303,i
